;Comb;Shell;Heap;Radix;Counting
1000;170113;253826;273916;612553;15876
2000;455538;554181;599409;1062127;38013
3000;744076;874598;938147;1594825;43449
4000;952356;1095900;1155668;1909240;55409
5000;1153615;1429457;1496633;2375312;104657
6000;1269024;1590156;1648372;2571870;93087
7000;1530781;1887675;1860874;2738881;105105
8000;1576768;2036619;2049996;3027849;117970
9000;1654166;2104036;2176206;3218295;140512
10000;1801056;2201906;2246708;4409533;149985
11000;1980713;2362555;2333174;4511005;158537
12000;1960096;2385939;2389063;4605813;167149
13000;2015539;2570074;2666863;5026197;182611
14000;2195221;2798266;2852391;5385164;202598
15000;2395997;3073203;3065613;5749790;220350
16000;2517341;3406917;3314411;6122817;241054
17000;2732046;3615435;3545054;6545815;260392
18000;2909927;3838508;3765789;6927318;277841
19000;3121670;3991092;4011971;7288173;299918
20000;3248973;4204102;4241021;7660722;316208
21000;3457650;4482916;4482788;8049084;336253
22000;3637669;4775996;4677693;8476410;370201
23000;3868839;5033834;4936557;8848828;375026
24000;4070071;5311682;5251546;9335261;396264
25000;4246447;5493018;6128494;9700430;433875
26000;4430217;5829892;5722726;20711529;432345
27000;6184904;6917323;6384752;10496729;454551
28000;4775515;6290461;6166428;10845126;485078
29000;4989514;6597407;6440676;11250308;503624
30000;5873361;7907902;6978102;12012380;523328
31000;5333382;7186583;6961665;12038308;548788
32000;5558888;7330223;7178038;12418356;677335
33000;5834210;7489117;7456491;12702886;604602
34000;5971527;7830704;7695990;13425291;629908
35000;6277445;8297207;8079492;14631861;671006
36000;6483322;8308676;8257778;14014084;708532
37000;6543822;8837295;8434120;14416223;726257
38000;6779898;9045032;8711169;14919299;741214
39000;6904527;9164415;9046398;15183929;778559
40000;7209785;9445722;9460120;15450779;824188
41000;7273120;9986166;9375317;15880058;837509
42000;7542736;10529119;9704802;16355763;877119
43000;7684565;10669076;9981512;16621251;6420382
44000;12049422;13519668;11934916;18331732;924707
45000;8117925;10823455;10425241;17474269;955555
46000;8253718;11107144;10766449;17985376;986294
47000;8456525;11615036;10990666;18384390;1017755
48000;8641577;11818788;11290548;18698316;1046850
49000;8834959;11756308;11498987;19021525;1097792
50000;9159796;12045930;11785930;19604994;1123280
51000;9289517;12691676;12048138;19845745;1137543
52000;9474954;12964439;16328418;25499582;1183287
53000;9660409;13228776;12557658;20627750;1247478
54000;10007673;13612091;13040499;21109653;1231832
55000;10172391;14245401;13059917;27851842;2321061
56000;15077354;17966637;15263787;22607984;1289143
57000;10538300;14161865;13565748;22304131;1322755
58000;10642191;14507512;14001534;22655421;1353615
59000;10961571;14757380;14164976;23097449;1458667
60000;11031797;15686534;14443252;23499056;1412901
61000;11212524;15460986;14790698;23891492;1444201
62000;11541780;15803739;14976592;24365259;1472794
63000;11736739;15855491;15253181;24604441;1532011
64000;11949630;16788188;15734758;24988554;1563894
65000;12086243;16415122;15793635;44454002;2129433
66000;15821060;19210924;16475798;25765703;1627091
67000;12610434;17481878;16318447;26281453;1624487
68000;12801737;17841878;16554515;26578096;1670507
69000;12975605;17933540;16862921;26946443;1695785
70000;13309386;18157583;17149797;27339836;1733772
71000;13427338;18310554;17432502;27728038;1753518
72000;13633772;18276653;17611500;28168421;4885430
73000;13819757;19377679;17982148;28636481;1844942
74000;13941579;19188053;18259147;28897128;1852735
75000;14174665;19603939;18521657;29429615;1873179
76000;14392976;19768701;18742432;29719814;1902780
77000;14835312;19903062;19035528;38433073;3263242
78000;15197904;20511759;19713689;31389771;1971714
79000;15243409;20546163;20073641;36384223;2896969
80000;15677086;21493328;20460437;32603545;2425423
81000;15820012;21575621;20458347;31731647;2071343
82000;15898639;21446908;20570858;32306753;2091998
83000;16172967;22041768;21074510;33571377;2399068
84000;16593141;22671780;21079780;33316054;2229763
85000;16423396;30305544;30181362;40509754;2194917
86000;16828316;23353734;21821512;33788629;2251853
87000;16852190;23833470;21900301;34347362;2289181
88000;17371195;24048082;22145147;34346838;2328239
89000;17372994;23479635;22425254;34980908;2405620
90000;17607472;24762640;22655156;35203697;2374438
91000;17658484;24196129;22895161;60380639;2822007
92000;21943672;31408543;31230374;53019255;2735339
93000;22491131;31783690;29753822;61989207;2740350
94000;22371318;28816118;23876874;38516534;2470256
95000;18403212;25774434;24146143;46714260;2476769
96000;18906024;25497580;24366859;39482879;2496298
97000;19469573;26914587;25137155;38138347;2667695
98000;19266100;28037059;25890489;39315532;2591433
99000;19410167;26537532;25476990;38716890;2712115
100000;20017009;28335308;25532911;53393328;2689686
101000;20158786;27852010;26427637;50026538;2773126
102000;20069950;29209987;26538678;50028807;2720986
103000;20222028;28134972;26481669;53649707;2743614
104000;20496246;29148655;26703059;50780410;2763846
105000;20949107;29817577;26870195;51571832;2873612
106000;21054491;29007624;27216184;63362762;2959922
107000;22732313;33003505;32312208;58410483;2960593
108000;25957893;51090822;40700300;73997006;3493355
109000;28426630;40776657;39751191;90520004;3304329
110000;28895816;44698488;40062516;88083989;3243982
111000;29868193;44482671;43202639;94171989;3288996
112000;27527028;44646229;40033824;94121851;3705901
113000;29707961;43701160;41329296;91839034;3380754
114000;29905809;45378157;41971523;106923670;3536643
115000;30120966;39125143;41498154;91855364;3411837
116000;30357259;44516007;41974650;91619344;3617971
117000;29629428;43348067;41459038;93606509;3512190
118000;31114538;46125733;41866744;93893656;3648451
119000;31572768;33323516;31349394;63205388;3452200
120000;24289095;33603785;31189597;58718418;3327312
121000;24230722;34614359;31640079;77575727;4516520
122000;28974483;34481853;31792953;59613297;3439369
123000;24629567;35363861;32116465;62825340;3367451
124000;24796763;34599803;32428565;60635809;3392356
125000;25022714;34944777;32711323;77279786;3705620
126000;25666045;35661324;32960199;61450467;3501083
127000;25439750;35398758;33286186;67212080;3544712
128000;25522661;36292594;33623123;62590690;6633538
129000;25825352;36259611;33926848;62937108;3608224
130000;26216404;37703481;35403540;67201350;3638666
131000;26523527;37396580;34420068;64088159;3666278
132000;26576661;36770972;34899565;70759404;3768026
133000;27030069;38717676;35121522;64924763;10092727
134000;35772021;40154559;35219165;65478065;3763102
135000;27213085;38873135;35514314;65986101;3793021
136000;27571535;39874973;35971651;77329409;3819591
137000;28233950;39240861;36235834;66869151;3869379
138000;27911035;40560525;36544510;81264765;6199233
139000;36422601;41517781;37142915;67734312;3861924
140000;28675445;40334407;37052122;68361894;3892992
141000;28632443;40496398;37580770;76686841;3908681
142000;28664133;41458253;37599041;69590383;4015662
143000;28885799;40457045;38108939;69881766;4033487
144000;29227835;42539629;38237459;70246039;4071538
145000;29378366;41614813;38727324;76106761;4052137
146000;29549249;44475649;38787781;71429023;4085993
147000;29685766;42303981;39186712;71768483;4098591
148000;29972892;43416858;39418464;75928706;4222335
149000;30391363;43442529;39874263;72856103;4215742
150000;30629893;43307554;40000912;73283626;4254069
151000;31153950;45098833;40351724;84865107;4225092
152000;31061316;45111605;40518149;74290075;4312981
153000;31285250;44914596;40925539;74849958;4286230
154000;31433274;45211368;41270593;90041844;4329509
155000;31720589;45920553;41711106;75791538;4349771
156000;32028787;45191052;41850366;76333561;4387711
157000;32061425;47140848;42047621;85425913;4419789
158000;32353771;47661593;42507966;77205556;4448354
159000;32574239;46421494;42556032;77683185;4482819
160000;32736727;47616216;43009564;78080504;4543071
161000;33152432;47201209;43261273;91342313;4614997
162000;33273237;47162064;43329075;79005002;4569506
163000;33569821;47574479;43862270;79486320;4613299
164000;33680867;48629227;43974914;81581734;4968582
165000;34113407;48201516;44415582;80640819;4667366
166000;34409997;49407663;44798675;81045700;4749421
167000;34530657;50679225;44983644;81444772;4846256
168000;34882457;48644221;45279375;92590574;4760048
169000;34914501;50794716;45802563;82382613;4858255
170000;35274744;50558209;45981396;82816500;4881165
171000;35549259;51661852;46328983;83309984;4908505
172000;35435364;52395908;46660107;86556664;5224078
173000;35715113;50892568;46961535;90527525;4903285
174000;35829299;51855489;47066928;84912290;4992070
175000;36196328;51681094;47758910;85530991;5030851
176000;36527773;52052118;47818843;86140127;5013286
177000;36476264;53123009;48054214;97089214;5032701
178000;36739911;53469903;48381844;86914244;5070199
179000;36901078;52896187;48610382;87386963;5089338
180000;37188632;54290908;48979979;98492779;5137589
